春来眼际	喜上眉梢
国富民乐山河呈瑞气	政通人和日月耀春晖
国富民强乐尧天舜日	闾安岁稔欣时雨春风
国色方兴普天开景运	春潮早涨大地发生机
国泰民安三元呈吉象	人和政善九域绕祥云
国泰民安一岁胜一岁	人寿年丰一年强一年
国泰民安众星朝北斗	风和日丽百鸟向南枝
国新政易新时时报捷	人老心难老事事争先
国兴旺年年风调雨顺	民富强岁岁人寿年丰
果硕花繁世界惊巨变	山欢水笑人民赞大成
海甸荟珍函沿波从朔	春阳迎绮陌倬汉成文
海晏河清民风光社稷	令行禁止法治定乾坤
汗水润喉欢唱丰收曲	政策指路敲开致富门
好政策调动千军万马	大市场幸福万户千家
昊岁启三元含和籥转	尧曦光四表承照华敷
贺大有万民盛赞四化	庆新春两岸殷期三通
红梅笑绽江南山似锦	白雪纷飞塞北岭如银
红梅争艳飞雪迎春到	万象更新新潮逐浪高
红日喷霞处处添画意	春风化雨点点动诗情
红日无私任万家分暖	阳春有意催百花争荣
红杏无私春分墙内外	青山有德泉灌地高坡
虎年生虎子虎头虎脑	龙人传龙裔龙子龙孙
虎跃龙腾创人间奇迹	莺歌燕舞描大地春光
虎跃龙腾建功九万里	莺歌燕舞造福两千年
虎跃龙腾全民歌盛会	羊欢马啸胜纪上新阶
虎跃龙腾有天皆丽日	花香鸟语无地不春风
互联网上拓宽致富路	科技园地盛开幸福花
花好常月圆人间同寿	根深叶不瘦天地长春
花好月常圆人民同寿	根深叶又茂天地长春
花团锦簇江山添异彩	虎啸龙吟华夏壮神威
花团锦簇江山添异彩	虎啸龙吟华夏震声威
化雨似甘霖恩及草木	春光催新政暖透人心
欢度新年家家彩灯艳	喜逢盛世户户春酒香
集八方信息生财有道	传四海科技致富无涯
继往开来弘扬三代表	与时俱进建设两文明
继往开来建设现代化	踌躇满志开发大西北
继往开来开创新局面	与时俱进俱兴大发展
继往开来山河腾锦绣	承前启后社稷竞辉煌
继先辈发扬革命传统	学雷锋誓做时代新人
佳节舞龙蛇千家致富	东风荣草木万户迎春
家有聚宝盆招财进宝	院栽摇钱树致福生财
甲子开元江山添秀色	东风化雨天地共长春
坚持原则按政策办事	深入实际同群众商量
减负又扶贫为民解困	下岗重就业替国分忧
建设四化赖一代俊杰	指点江山有无数忠良
健笔如椽歌尧天舜日	繁花似锦赖化雨春风
降雪无声乾坤一夜玉	安邦有继祖国万年春
金灿星辉东风传喜讯	湖尤山色大地播春晖
金猴棒奋千钧除腐败	盛世家兴万富民康宁
金镜开楹升恒光北极	珠勺映座长养顺动方
金镜霞明九苞开凤录	玉衡星正五色协麟文
金牛辞旧携凯歌而去	乳虎迎春带捷报新来
金阙云晴九华开彩扇	珠楼风细七宝拂炉烟
尽改一言堂鸟飞鱼跃	远谋千载业柳暗花明
经济繁荣四海歌善政	生活富裕亿民庆新春
经济腾飞结出丰硕果	文明建设催开鲜艳花
经营有道货自八方至	管理得方财从四面来
九州春色闹百花争艳	四化宏图展万马奔腾
九州春意闹百花争艳	四化宏图描万众显能
九州欢歌颂扬三代表	万民起舞共襄两文明
举步昂首攀登十八盘	跃马扬鞭飞越天柱峰
举国欢腾迎来五十庆	全民奋起跨进二千年
骏马金鞍跨上康庄路	肥猪元宝迎来大丰年
开放涌春潮九州明媚	改革掀热浪四海辉煌
开天辟地先辈耀华夏	继往开来后贤转乾坤
看旖旎春光浑耀天地	喜风流人物整顿乾坤
看旖旎春光重新日月	喜风流人物大展宏图
抗洪抢险虎年呈异彩	创业兴家兔岁立新功
科技入户春来千枝秀	文明临门冬去万木芳
科技兴农村村夸致富	文明重教户户喜事光
快马加鞭不坠腾飞志	吉羊昂首更添奋发心
快马舞东风春盈四海	梅花香大地喜满九州
葵花托金盘赤心向党	瑞云捧红日丹凤朝阳
愧白首一郎有辜明盛	愿青钱万选尽得贤良
腊尽春归山村添喜气	牛肥马壮门户浴春风
老老少少话古今巨变	家家户户乐万象更新
璃雪兆丰年家家欢喜	春光映大地处处生晖
立壮志为江山添锦绣	争朝夕与日月争光辉
丽日彤彤神州春似海	东风袅袅大地绿如茵
丽日耀三春飞花竞秀	东风催四化捷报增辉
励精图治雄心抒壮志	足智多谋胜纪建奇功
联对更新正气驱邪气	春光伊始今年胜去年
灵蛇立大功功垂千古	骏马迎新岁岁贺万福
两眼静观世界风云变	巧手绘就祖国平安图
留胜迹水秀山明草茂	谱新歌羊肥马壮春荣
六波罗蜜‘施’为首	四无量心‘舍’最高
龙去雄风在江山不老	蛇来灵气生岁月常新
龙舞秋云织中华锦绣	鸡啼春晓颂大业腾飞
龙子驾神舟探花及第	猴王庆盛世祭酒登科
律法严明九州欣大治	春风和煦万众话小康
马壮牛肥山村添喜气	地灵人杰门户沐春风
埋头钻研为未来攻关	刻苦学习替祖国增光
曼舞轻歌迎接新世纪	挥毫泼墨吟咏好山河
梅红雪白春景无限好	官清吏廉神州气象新
梅花点点笑饮丰收酒	爆竹声声高歌胜利年
梅花点点笑迎丰收岁	爆竹声声欢歌大治年
梅开五瓣浓抹三阳景	竹报三多淡妆四季春
梅雪争春山河添秀色	李桃竞艳岁月换新天
门饶清风勤为摇钱树	户纳艳阳俭是聚宝盆
描千里春色百花争艳	绘四化宏图万马奔腾
明镜高悬江山千古秀	执法如山花木四时春
鸣炮迎春春光盈大地	书联贺喜喜气满神州
年复年年年花香鸟语	岁增岁岁岁人寿年丰
年年过年年年不虚度	岁岁别岁岁岁不蹉跎
年年过年一年一个样	岁岁登高一岁一重天
鸟语花香九州春光好	人欢马叫四季画图新
盘瓠神将上天去报喜	天蓬元师下界来除灾
培养人才建百年大业	艰苦奋斗开一代新风
凭俭养廉开一代风范	纳谏从政秉千秋德操
七十老夫圆富足美梦	千年古国得安居太平
奇迹不奇实践能创造	高山不高只要肯攀登
奇迹不奇英雄能创造	远征非远良马自奋蹄
起凤腾龙千家争贡献	移山填海十亿尽风流
千家爆竹为河山喝彩	万户歌声唤海岳开心
千家富裕天开长春景	百业繁荣国成永乐洲
千秋大业从今天做起	万代福源靠妙手牵来
千枝竞秀有天皆丽日	万木争荣无地不春风
勤奋学习知识天天长	努力工作幸福年年增
勤俭持家雄心创伟业	劳动致富壮志营新居
勤劳动致富理直气壮	洒汗水生财家富国强
勤劳人家广栽摇钱树	科技钥匙常开聚宝门
勤勤恳恳培育新一代	兢兢业业争当好园丁
勤为致富之源年年发	俭是聚财之本月月红
青山不老人间多春色	绿水长流神州皆新图
庆佳节怀思台湾宝岛	迎新春祝福骨肉同胞
庆新春更念手足兄弟	辞旧岁倍思骨肉同胞
群英奋大业闻鸡起舞	春晖映五岭策马前行
群玉成山思文衍邰室	上奎柄耀绳武播豳风
人长久月长圆春长在	国永昌家永睦福永生
人欢马跃开创新局面	燕舞莺歌喜庆夏收年
人间传喜讯一元复始	大地发春华万木争荣
人心思治干群斗志旺	岁月逢春江山气象新
日历翻新力争红岁月	春联换旧催绣美山河
日丽风各水泛千层浪	天高气爽鸿传两岸情
日丽风和处处春盎盎	国强民富家家乐融融
日月光昭数风流人物	春秋笔在歌盛世英雄
日月知心人民大团结	春风得意江山起宏图
日月知心人民大团结	春光得意江山起宏图
瑞启青阳轩云承翠幄	祥开黄道羲日展金舆
瑞气满神州青山不老	春风拂大地绿水长流
瑞雪伴青松江山如画	和风拂翠柳祖国皆春
瑞雪冬梅红花映日展	春风杨柳佳卉向阳生
瑞雪纷飞大地萌春意	东风浩荡神州跃巨龙
瑞雪霁难山寒收玉宇	条风嘘内斗春满金瓯
瑞雪千家江山银万里	春风一树物野绿千层
瑞雪兆丰年春回大地	春光无限好瑞满人间
瑞雪兆丰年年年大吉	丑牛接寅虎虎虎生威
瑞雪兆丰年天开好景	金鸡啼远韵岁展宏猷
山欢水笑八方盈正气	物阜民康四海庆阳春
山明水秀处处皆春色	年丰岁余人人尽笑颜
山清水秀风光日日丽	人寿年丰喜事天天增
山下清泉饱含爱民意	树头翠果尽结拥军情
上下五千年英雄画卷	纵横八万里锦绣诗廊
韶序启青阳煦回岁籥	祥光腾紫气庆溢仙闾
申奥成功情系一一载	足球出线梦圆四四年
身老心不老老不服老	春新花更新新年更新
神州大地靠彩笔描绘	中华巨龙驾疾风起飞
圣德醍醐花深红药省	帝光糺缦日丽紫薇天
十六座丰碑与时俱进	五千年伟绩同日齐辉
十一亿神州民兴伟业	五千年历史大展宏图
十亿神州共驰千里马	四化建设更上一层楼
时令值新春风和日丽	人民逢盛世面笑心欢
书声朗朗校园萦瑞彩	笑脸盈盈文苑出新人
鼠去牛来一元欣复始	春明日丽万象喜更新
树立正气以准则为镜	端正党风从己身做起
树雄心攻克技术难关	立壮志攀登科学高峰
树雄心攻克科学堡垒	立壮志攀登世界高峰
双手茧花结出丰收果	一身汗水浇开幸福花
舜日尧天万民增福泽	和风甘雨四海沐春晖
四化报春来人人称颂	一年歌岁首处处欢腾
四季四方同奏四化曲	一年一步更上一层楼
四柱擎天看神州巨变	五星焕彩引玉龙腾飞
松竹梅神州共经寒岁	桃李杏两岸共乐新春
岁序更新马年留胜绩	春风初度羊志展鸿猷
岁月逢春山河添锦绣	人民思治龙虎振精神
探密驾神舟一帆风顺	兴邦驰骏骥万事亨通
桃李迎春北国江山丽	龟蛇献瑞南疆岁月新
特色中兴普天开景运	宏猷大展遍地发生机
同德同心开拓新局面	群策群力改变旧规模
万户千家齐奔现代化	五湖四海共知胜利年
万里春潮溶八方锦绣	九天晓日流五色云霞
万马扬蹄踏凯歌而去	群羊翘首唤春信即来
万木争荣人间添秀色	千山滴翠新岁壮精神
万象更新成城集众志	千帆竞发破浪乘东风
万紫千红呈九州春色	五讲四美照十亿心灵
万紫千红迎春须纵马	五风十雨顺水好扬帆
为人民服务一言九鼎	盼祖国统一九州一心
五彩纷呈艺苑春光好	百花齐放文坛景色新
五谷丰登银蛇载誉去	百花争艳金马踏春来
五讲四美是齐家根本	勤俭节约为富国源泉
五讲四美新风遍华夏	万紫千红美景展神州
物阜民丰祖国年年好	日新月异家乡处处新
喜九州春色百花娇艳	绘四化蓝图万马奔腾
喜炮闹元春千家接喜	春风荣蛇岁万户迎春
喜气满庭阶春来福地	凯歌传江海鱼跃龙门
喜气闹新年千家报喜	春风暖蛇岁万户迎春
喜气盈门政惠千家福	华光满目民欢万代春
喜庆丰收科研结硕果	欣谈致富教育供才源
喜鹊登梅百族迎佳节	金牛献瑞万里笑春风
喜鹊迎春红梅香瑞雪	吉羊贺岁金穗报丰年
喜上新楼看羊春前景	乐开彩电听马岁回音
喜四化征途莺歌燕舞	看九州大地马叫人欢
喜迎美好未来天地宽	乐创幸福生活日月新
下磨杵功夫终酬壮志	学取经本领大显神威
仙仗五云鸾鸣和盛世	德车七宿龙角运中天
先烈打江山伟业千载	吾辈搞四化福泽万年
献瑞灵蛇频传捷报去	识途骏马奋驾宝车来
香海飘香人民千载乐	港人治港祖国万年春
祥云捧日江山盈淑景	瑞气凝春社稷溢华光
小龙变巨龙腾飞巳载	老马是骏马跃进午年
效虎豪吟放怀歌富岁	闻鸡起舞挥笔颂春光
协气绕南荣苍车献瑞	条风来左序青锁含辉
心连两岸盼芳春永驻	情系三通期皓月长圆
新旧交替《声声慢》	岁月更迭《步步高》
新貌新风喜迎新世纪	好鞍好马驰骋好前程
兴邦开富路功归三代	布政绘鸿图福泽万民
星管叶珠勺祥开万象	云屏通碧汉瑞启三阳
雄师奋战创千秋业绩	俊彦挥毫谱一代风流
修渠攀岭碧流飞千里	引水上山银河落九天
旭日出东方光弥宇宙	百花开大地春满人间
旭日射铜龙上阳春晓	和风翔玉燕中禁花浓
雪铺富裕路银光闪闪	鹊叩幸福门喜报声声
言行并重兴中华伟业	法德兼施树社会新风
眼看河山已腾龙气象	胸怀世界要振马精神
艳阳高照江山添锦绣	壮志常存祖国更富强
阳光照河山河山添色	春雨洒大地大地生辉
养天地正气三宝为最	法古今完人佛陀至上
已有二月杏花八月桂	再添一时春雨三时秋
以慧眼看人无物不照	拿良心做事随处皆春
银箭应琅璈蓬壶昼永	铜铺开锦绣阆苑春浓
引甘泉浇灌满园新蕾	洒热血培育祖国未来
英雄儿女常存英雄志	锦绣河山再展锦绣图
迎新春处处春风拂面	祝喜酒家家喜气盈庭
有国才有家国家至上	兴家先兴国家国攸关
鱼跃鸢飞光景随时好	人欢马叫春潮逐浪高
与时俱进开世纪伟业	和党同行展小康宏图
雨顺风调千山生锦绣	人和政肃四海舞虹霓
雨顺风调中华铺锦绣	人勤春早大地沐祥光
玉管奏諴和气调九宇	璇枢徵广运衡正三阶
玉兔回宫喜迎新世纪	金龙下界更展大宏图
玉兔生辉照宽改革路	春风得意吹绽文明花
元象转星勺丹霄北供	重门映春树紫气东来
元勋漫舞轻歌辞旧岁	旦日欢天喜地迎新年
云霞蔚彩新年添福寿	山水韶光秀色满乾坤
泽雨润神州年丰国富	东风荣大地世盛民康
泽雨润神州山欢水笑	东风荣大地物阜民康
斩棘披荆党是先锋队	移山倒海团为后备军
战鼓催春声声震霄汉	东风化雨点点润人心
张灯结彩欢庆丰收岁	跑马耍羊喜迎艳阳春
张灯结彩欢庆丰收岁	跑马耍羊喜迎改革春
招财进宝勤劳是根本	发家致富科技做靠山
政策符心春风化春雨	汗珠落地黄土变黄金
政策架金桥土生百宝	科学播银种地出万金
竹林枝叶滴翠春增色	梅岭花蕊凝香雪添姿
紫气祥光碧海雄风劲	欢歌笑语春山瑞霭多
自力更生创千秋大业	发奋图强造万代幸福
自力更生创千秋大业	励精图治开万代宏基
祖国腾飞大鹏振羽翼	宏图再展乳虎显神通
遵路傍东垣擎霄春盎	近光瞻左掖瑞旭晨升
昨夕犬年欢歌迎大地	今朝猪岁新景满神州
八音响彻八方八方致富	七色光临七曜七曜增辉
百花争艳神州莺歌燕舞	大地生辉祖国桃红柳绿
百鸟鸣春堪喜人间换岁	群龙献瑞欣逢世纪更新
百业方兴到处五光十色	九州全盛应时万紫千红
百株松千株梅万竿修竹	五日风十日雨一抹春山
爆竹声声喜报前程锦绣	梅花朵朵欢呼万象更新
爆竹声中听到隆隆战鼓	梅花香里迎来滚滚春潮
爆竹一声送走因循守旧	礼花万点迎来改革开放
爆竹迎春春丽五湖四海	红梅报喜喜催万马千军
步新潮须骑骏马驰千里	兴伟业应唤春风惠万家
才过小龙年又催千里马	曾经大风浪更上一层楼
彩笔如花写就辉煌事业	春风似剪裁成锦绣江山
彩笔如花写就辉煌岁月	春风似剪裁成锦绣江山
沧海飞舟脚踏千层雪浪	昆仑立马眼收万里风云
闯学海沙里淘金求真理	攀书山若中寻乐作文章
承包好稻浪有风连麦浪	气象新庭园无处不花园
乘四化春风展千秋画卷	起九州生气迈万里征程
除夕猴在山重享齐天乐	迎春鸡报晓高唱东方红
春风吹春雨洒百花齐放	党纪严党风正万事皆通
春风催旧岁华夏百花艳	瑞雪兆丰年神州万象新
春风染沃野处处一片绿	喜报铺新途年年满堂红
春风送暖泽雨滋荣大地	佳节思亲黎民怀念小平
春光好春意浓春华秋实	民族兴民心顺民富国强
春光美山山水水欢歌奏	年景佳户户家家笑语稠
春花岁岁更新青山不老	时序年年除旧淑景长存
春回大地处处花明柳绿	福至人间家家语笑歌欢
春来兮大陆弟兄奔四化	时至矣台湾骨肉速三通
春霖降大地有情迎盛世	瑞雪舞苍穹着意报丰年
春起舞风拂大地捎新爱	燕飞翔语戏蓝天告旧情
春日融融万树繁花竞放	红旗猎猎千骑骏马争先
春柔马到他日必定成功	国盛龙腾今朝终能纵世
春阳送暖坚持中国特色	东风化雨发扬民主精神
春雨润苗万树千树竟秀	园丁勤育多出快出人才
辞旧岁欢欣鼓舞庆胜利	迎新春豪情满怀谱新篇
辞旧岁家家门前阳光道	迎新春户户窗外幸福花
辞旧岁劲松染霜松尤绿	迎新春寒梅映雪梅更红
辞旧岁十亿神州传捷报	迎新年万里江山扬凯歌
辞旧岁迎新春抬头见喜	抓良机走好运该我发财
辞旧岁祝丰年神州共庆	迎新春歌改革普天同乐
从朔贻规三院图书有典	指南锡极九霄云汉为章
促安定讲文明人心大快	迎新春展宏图前景辉煌
大厦落成到处欢天喜地	福人迁入满堂金碧辉煌
党民雄程玉局别开生面	国兴特色勋猷独领风骚
得申奥运进世足入世贸	将请财神接运气取公平
德政长存四海长歌德岁	丰碑共仰九州共庆丰年
东风浩荡人民安居乐业	大地澄清祖国稳定繁荣
东风劲吹山川香花朵朵	甘雨细润科研硕果累累
东西南北中处处传捷报	徵羽宫商角声声奏佳音
发星弹放神舟乐巡宇宙	迎澳门参世贸声震寰球
发扬民主国家繁荣昌盛	加强法制人民安定团结
发扬实事求是科学作风	巩固安定团结大好形势
发展多种经营财源茂盛	大高科学种田五谷丰登
法度除法轮法轮原无法	真经循真理真理终是真
翻一页日历存百年基业	绘千幅蓝图兴万代子孙
芳草先知喜报春归大地	梅花初吐欣观绿投满山
丰收年头莫忘克勤克俭	胜利时节切记戒骄戒躁
风调雨顺处处山欢水笑	政通人和年年国泰民安
逢佳节盼望河山归一统	迎新春倍思台眷共团圆
夫妻携手共织爱情经纬	男女并肩同酿事业琼浆
福星照吉宅新春家家乐	普天同欢度神州处处春
改革开红花呈中国特色	小康铺富路通人间天堂
改革鲜花开遍三山五岳	文明硕果结满万户干家
甘露无声绣出千红万紫	阳春有脚送来十雨五风
歌大治条条绿柳春光好	创小康副副楹联气象新
公道春风又绿神州大地	无私丽日重红宇宙长天
共产党政策温暖万人心	邓小平理论指引改革路
鼓雄风再展中华昌盛景	树壮志开创神州富贵天
固国体厚国基兴农为首	淳民风启民智重教优先
国兴旺家兴旺国家兴旺	老平安少平安老少平安
海无波涛海瑞之功不浅	林有梁栋林润之泽居多
含笑腊梅唤醒奇葩千树	溢香春笋挺起翠竹万竿
红梅开冻野千枝迎雪舞	绿柳发新柯万缕赖风裁
红日无私温暖五湖四海	春风有情染绿万水千山
红色电波常传九州喜讯	荧光屏幕再现四海奇文
红杏丛中朝见牛羊出圈	绿柳郊外夕闻鸟雀归林
宏图大展成就行行伟业	骏马奔腾飞越道道雄关
猴岁呈祥长空五光十色	鸡年纳福大地万紫千红
虎跃龙腾碧海黄山玉宇	莺歌燕舞春风旭日神州
虎跃龙腾碧水苍山玉宇	莺歌燕舞和风丽日神州
欢度佳节不忘骨肉同胞	喜迎新春怀念台湾人民
换旧符欢呼祖国瞳瞳日	开新宇喜看神州处处春
惠政暖民心乐小康岁月	春风融国土壮大好河山
货架上下朵朵红梅争艳	柜台内外张张笑脸迎春
货架上下汇集祖国春色	柜台内外倾注同志深情
极五岳奇峰抒迎奥壮志	倾三江急流写入世豪情
集资金储银行行行锦绣	开富路支农业业业辉煌
几代绿茵情往日情还在	两回奥运梦今朝梦已圆
家家户户处处干干净净	事事时时人人平平安安
健笔描春山水五光十色	新猷治国城乡万紫千红
健全法制立法执法守法	广举贤才思贤选贤用贤
讲道德树新风遵守法纪	学雷锋做好事为国利民
戒定慧三无漏学真善美	佛法僧稀世珍宝难遭遇
金猴举棒驱走千年旧俗	雄鸡报春迎来一代新风
锦绣河山党肇尧天新运	弦歌夏甸民欣舜日清平
京华迎奥运城乡添特色	宇宙翱神舟科技沐祥光
兢兢业业甘当祖国园丁	勤勤恳恳培育未来新人
九州大地处处莺歌燕舞	四化征途年年虎跃龙腾
九州大地到处莺歌燕舞	四海征途一路马叫人欢
九州大地皆春春风惠我	万里河山造景景色宜人
救死扶伤当好白衣战士	除疾解痛精求济世良方
居一得元秉神符而永极	交三成泰捧宝胜于重华
鞠躬尽瘁志在抚育新苗	埋头苦干誓做辛勤园丁
举杯放歌款款春风如洒	昂首阔步冉冉旭日多娇
举国上下促进安定团结	万众一心实现经济发展
举国上下齐颂龙马精神	男女老幼一健马到成功
举湖海为杯祝人民幸福	谱春光入曲唱江山多娇
军爱民民拥军情同手足	民养军军护民亲似鱼水
军民团结共筑万里长城	鱼水情深同绘四化宏图
骏马扬蹄奔驰峥嵘岁月	春风着意装点锦绣山河
开门见喜个个心花怒放	擂鼓迎春人人笑逐颜开
开门见喜个个心花怒放	辞岁迎新人人笑逐颜开
看祖国红旗招展景如画	望世界山雨欲来风满楼
科学坦途少有志方竟成	英杰豪气多无高不可攀
来于民养于民用之于民	安于军施于军赖之于军
老安少怀家庭和和美美	夫敬妇爱生活蜜蜜甜甜
老传统老作风发扬光大	新道德新风尚蔚然成风
林海安家窗含无边春色	青山着意胸有大块文章
麟定螽诜叶二南于彤管	星轩月殿配一德于丹宸
柳绿桃红都是革新气象	鸢飞鱼跃无非奋斗精神
龙蛇同体角有角无当辨	已巳异头尾长尾短当分
楼高厦大不分官宅民宅	气爽风清但见梅园杏园
陆台染红霞九州同妩媚	两岸瞻皓月千里共婵娟
律转璇枢三殿星云复旦	时调玉烛前门花柳同春
绿柳春风争颂汾水风采	秀塔伟楼笑看三晋新颜
绿柳舒眉争颂中华崛起	红桃开口笑看祖国添娇
绿水青山风景这边独好	红妆素裹江山如此多娇
绿蚁酌千家邀春风做客	红联贴万户趁节日抒怀
锣鼓喧天共奏迎春妙曲	风雷动地同抒致富豪情
锣鼓喧天共奏迎春妙曲	风雷动地同抒蹈海豪情
洛阳辽阳岳阳阳光普照	党风政风军风风情相通
门户放开引进新鲜空气	国家改革迎来灿烂春光
末法不念佛修行难有成	学佛无般若如同盲者行
沫春风展大业天高地广	迎朝日绣乾坤水碧山青
纳言荐才四化指日可待	反腐倡廉九州中兴有期
南疆雨北国风风调雨顺	东海龙西山凤凤舞龙飞
年景佳山山水水欢歌奏	春色美户户家家笑语稠
年年好景共建千秋伟业	处处春光大展四化宏图
浓墨映影描得山川秀色	巨毫生辉写就时代华章
企业自主干群意气奋发	质量优先生产捷报频传
千樽美酒共庆中华昌盛	万曲赞歌同讴祖国文明
千樽美酒共祝祖国昌盛	万支春歌齐唱人民富裕
巧借银屏向千家报喜讯	暂凭声像为四化唱赞歌
亲亲热热使你来得高兴	挑挑练练让你去得满意
勤学苦练攻克技术难关	精钻深研攀登科学高峰
庆丰收仓盈廪满喜洋洋	迎新岁家俭人足乐陶陶
庆虎岁把酒高吟虎跃曲	祝丰年扶犁又唱丰收谣
庆回归澳门齐唱迎春曲	行改革华夏共吟壮志诗
庆佳节户户家家喜事多	迎新春山山水水风光美
庆胜利举金杯春满万户	贺丰收展笑颜喜盈千家
庆新年千家万户贴红对	点春景五岳三山披绿装
去私心为民众甘当公仆	巨腐蚀正党风牢记准则
群策群力理顺经济关系	同心同德推动科技进步
人尽其材祖国一日千里	各得其所山河万象更新
人寿年丰生活越来越好	风和日雨春光如画如诗
人寿年丰生活越来越好	莺歌燕舞春光如画如诗
人心安定华夏千山竞秀	国运昌隆神州万木争荣
日挂中天普照九州国度	春回大地共绘四化宏图
日丽风和喜奏金蛇曼舞	民强国富远瞻骏马腾飞
日丽风和绣出山河似锦	年丰物阜迎来大地皆春
日映东嵎被光华于艺圃	源流北海挹沆漾之文澜
日月共长天同心相运转	江河合大海融会聚波平
日月循环堪喜人间换岁	风云际会欣逢世纪更新
日月重光三始同临首祚	天地交泰万象共庆新春
日照中天普照九州国度	春回大地共描四化宏图
入龙岁人人壮改革雄心	迎新年处处树文明新风
瑞日高悬塞北江南皆暖	东风浩荡天涯海角同春
瑞雪飞梅花笑景色绚丽	红旗扬凯歌奏战果辉煌
瑞雪飘飘喜伴神州美景	腊梅朵朵笑迎华夏春光
瑞雪无心抹去五颜六色	春风有意送来万紫千红
瑞雪莹莹百片千片万片	红梅灼灼一丛二丛三丛
三代表犹如珍贵三春雨	两文明酷似芬芳两朵花
山青水秀映改革千秋画	鸟语花香颂文明万代歌
善始善终行事莫留蛇尾	同心同德兴邦须借马威
深化改革一心共建大业	放开胆子举国同奔小康
神州华夏不可分离两地	炎黄子孙终将团聚一堂
生产致富送走一穷二白	勤俭节约迎来万紫千红
盛会展宏图弘扬三代表	中华兴大业建设两文明
识时机抛开近利谋远利	顾大局走出官场奔市场
十亿人民欢送神州旧岁	五湖景物喜迎华夏新天
世上无难事无心人不就	科学有真谛有志者竟成
书作良田百世耕之不尽	勤为至宝一生用则有余
淑气凝和天上香浮簇仗	条风扇瑞宫中日永垂裳
树高千丈有赖阳光雨露	铁杵成针全凭日久功深
数树红梅点燃千家喜爆	一轮朝日迎来万户春光
水碧映山青青山映碧水	花红扶叶绿绿叶扶红花
四化宏图辉映五湖四海	政策落实调动万马千军
四柱擎天天宝物华人杰	五星耀地地灵国泰民安
松香竹香梅香香风阵阵	天美地美人美美意重重
送虎岁盈盈硕果山村景	迎兔年丽丽宏图祖国春
送金虎硕果丰收千里艳	迎玉兔宏图再展万年青
颂党恩瑞日祥云遍宇宙	赞改革春风和气满乾坤
岁时新春意浓神州焕彩	宏图美阳光艳大地生辉
岁岁辞旧岁往岁逊今岁	春春迎新春来春胜今春
天马行空日丽风和雨顺	灵蛇在世政通国泰民安
听遍地豪歌征人添虎劲	看漫天彩霞战马长精神
同心同德共砌神州大厦	一国两制成全祖国版图
兔岁初临健步已驰千里	虎年虽去雄风犹镇八方
外行变内行行行出状元	后浪追前浪浪浪有奇峰
万点红梅迎来三春锦绣	十亿赤子建设两个文明
万化转璇枢本天而本地	一元开瑞筴资始以资生
万里江山重见尧天舜日	九州草木共沾时雨春风
万里江山重见尧天舜月	九州草木共裕时雨春风
万马奔腾为江山添锦绣	宏图再展与日月竞光辉
万众一心创造锦绣乐园	五讲四美建设精神文明
望台湾春风牵动满腹意	盼亲友海水紧连两岸心
为官当权愿你一尘不染	离职卸任看我两袖清风
为国争光可上九天揽月	给民造福敢入四海擒龙
为子孙创业宏图惊日月	替祖国争光奇志壮河山
纬地经天交织人间锦绣	马龙车水频添大块文章
文明经商货流五湖四海	礼貌待人心向万户千家
舞长龙为大地回春祝福	耍猛狮给神州崛起壮威
物阜民康改变一穷二白	风和日丽欣看万紫千红
惜时胜惜金人人求进步	树德如树木事事作先锋
喜丰年粮似金山棉似海	看成果山通公路水通桥
喜洋洋绿水青山春永驻	美泰泰丰衣足食福无边
喜迎春春风得意春常在	抬望柳柳叶多情柳半垂
喜迎春念台胞天涯咫尺	盼回归寄祖国无限深情
细雨无声滋润满园锦绣	春风有意妆成一树玲珑
想当年逢人只说三分话	喜今日向党全抛一片心
新历迎年人贺重光舜日	椒盘献岁家欣再乐尧天
星转璇勺光映卿云五色	春回玉管祥开彩胜千枝
杏雨飞红喜织千家春色	和风着绿巧绣万里新图
胸怀祖国利益坚持真理	甘当人民公仆不搞特权
雄鸡一唱扫尽残星晓月	万众齐欢迎来化雨春风
修九亿方库客截流发电	筑八十里堤坝排涝防洪
旭日腾彩霞春色无限好	红梅傲霜雪江山分外娇
旭日祥云灿九州花似锦	春风化雨新四海歌如潮
学海千重看我飞舟横渡	书山万仞祝君捷足先登
血碧心丹描绘三湘图案	花香鸟语装点四面关山
滟滟江流映出满天霞蔚	声声爆竹迎来大地阳春
羊笔如花写就辉煌岁月	春风似剪裁成锦绣江山
羊笔生花喜写辉煌岁月	春风似剪精裁锦绣山河
一楼梅香烘出无边春色	三声鸟语闹来万里祥光
一路铃声捎去丰收喜讯	万家笔语带来富裕佳音
医有秘方可使万民益寿	药无凡草能救百病回春
以天下为己任丹心似火	把旅客当亲人笑脸如春
忆往昔沧桑含雪千花坠	看今朝寰宇绽春百鸟飞
莺歌燕舞笑迎神州巨变	虎跃龙腾欢建华夏文明
迎虎年敢逐改革拦路虎	送牛岁勇当奉献老黄牛
迎新春处处呈文明气象	入虎岁人人当改革先锋
迎新春千门开抬头见喜	奔四化万人起举步生风
迎新年满园春色满园锦	辞旧岁遍地鲜花遍地歌
迎新年三江春水三江洒	干四化一寸光阴一寸金
有脚阳春先到故园桃李	无心明月偏临近水楼台
与众同甘苦不搞特殊化	为民谋幸福愿当孺子牛
雨霁雾散百花扬眉吐气	浪静风平万船击水争流
