铁	煤
一线连天春风送我蒸蒸起	三河作带锦绣堆云款款收
访绿客来且看水天凝万绿	泣红仙去还期日月绽千红
奇观竞秀千方翡翠嵌龙域	胜地生辉万颗明珠灿粤疆
访古访今访来唐韵竞芳域	绿山绿水绿就南天滴翠湖
墨韵凝香净土一方堪忘我	书山望远红尘千古怎敌它
雾雾腾腾龙芽雀舌一轩雨	来来往往雅座游人几道茶
桥分美玉云轻日暖曲栏静	风落娇花月冷人闲碧水香
大大方方秋月春风无俗气	堂堂正正高山流水有知音
大道四方酒逢知己乾坤小	鹏程万里店有爱心宾客多
绿茵擎盖移天上蟾宫大树	香气醉风正人间仙境中秋
树亦通情成双结对千年果	芯能入药养气清心百岁人
锦簇绣团花开不过春三日	倚红偎白客至仍频笑一园
燕子呢喃衔来旖旎三春景	樱花烂漫占断芳菲四月天
美发美容笑容应共花容美	新潮新貌风貌还从面貌新
神韵仙音香曲绝非天上有	轻歌曼舞佳人最是此中多
每念新交约定双赢当握手	常容雅客功成互惠即开头
笑口常开接人四季春风面	热肠长暖待物一番冬日心
半俯微蹲双目注凝台上物	三思举杆一球击破网中天
任由挥洒笔随心丹青化境	执着追求情惬意翰墨无尘
岁月增辉九域河山添秀色	民心思富八方黎庶沐春风
晓色流丹蔚起朝霞铺壮美	晴光入户升腾旭日布祥和
四海升平锦绣花城腾紫气	五羊贺岁和谐南粤绘蓝图
千枝吐翠装潢社稷春光美	万剪裁红点缀乾坤气象新
善政惠民文明致富家家乐	春风入户科技兴农步步高
拥瑞霭联诗祝福民生富裕	谱春光入曲讴歌社会和谐
政通人和万里高天盈丽日	时合景春九州大地满春晖
和平和睦和谐世界和为贵	爱美爱真爱善人间爱亦多
莫说山小万古胸襟藏大爱	且爱风高一腔肺腑见真心
儿在何方眼前唯有一轮月	情归此处足下复来两度潮
欢歌盛世乘时正起金猪运	感受春天吹面不寒沂水风
春满沂蒙四野春风驰骥足	彩辉胜地万支彩笔绘鸿图
福娃献宝十亿共醉和谐酒	喜神降瑞万里同浴艳阳天
两岸直航台湾游子返故里	一脉同筹宝岛果蔬献亲人
胜地盈春锦绣沂蒙开盛象	天蓬献福辉煌骏业壮中天
画卷宏开盛世腾龙兴骏业	春风漫舞沂蒙溢彩壮华天
紫燕衔春一派和谐抒盛纪	金猪献瑞千家幸福颂华天
大别抒怀三春茶叶漫山茁	民歌绕梦八月桂花遍地开
山水皆奇美景赏来疑入画	身心俱爽温泉浴罢觉成仙
三教同奉崇善洞中小世界	四时共沐求真山外大乾坤
翠涌千峰香雾总逾天外月	碧通万径清辉犹逊炉中烟
碧血洒疆场何须裹以马革	丹心卫中华死应重于泰山
黄柏迎来涛浪连山迎远客	金鸡鸣过回声三省报新闻
金刚台雄峙豫皖揽千山秀	黄柏山扼守三省展万木春
风雨几番革命军中旌旗展	沦桑数度朝阳洞前草木春
舴艋近花半曲清歌惊鹭鸟	芰荷傍柳一船明月碎波光
鸾镜未开好洁但凭泉漱玉	珠帘常挂惜春不忍径飞红
一代词宗毕竟春风常驻笔	千秋锦句纵然愁绪也生花
遥对藕花凭栏多有寻诗客	怕惊鹭鸟入舫应无放棹人
慵倚阑干阁外谁弹风细细	宜填词阕窗前月落雪纷纷
无处报国至今犹记屈原恨	有心弄剑奋臂欲除倭寇仇
又是一年每尝香粽知胸胆	何须再问渴与离骚作友邻
汨罗沉恨千年难涤屈子愤	粽叶飘香百世共仰圣人芳
新诗数百问天得情难尔尔	故国三千随水去恨自绵绵
孤愤难平逐水三闾重五净	迷茫何解向天百问大千空
糯粽飘香汩汩江涛怀屈子	龙舟竞渡声声锣鼓祭忠魂
儿梦而飞飞步书山高揽月	童心同举举身学海戏擒龙
先贤传世守业代代尊才智	童心承学做人步步警品行
赶海弄潮巾帼不输男子汉	争奇斗艳缤纷最是女儿花
有约不来杨柳楼台烟似幕	无言独坐梧桐庭院月如钩
往事回头难忘者各心一段	浮生长憾无言时尽酒千杯
清溪自远古而来堪流唐韵	好景因何花点就竟有天香
正气修身阶下雪霜常弄影	虚怀养性窗前风雨总知音
一夜春风千年税赋一朝废	万分喜讯九亿农民万口传
右史左图何须车马多如簇	魏风晋骨惟有文章璨若星
心醉杏坛未觉雪霜侵两鬓	情牵荷角常披星月入千家
梦到家山我与春花都是客	心囚文字诗同杯酒共磨人
叶落归根唯愿忠魂回故里	身强体健更将余热慰英灵
稳定夯基人民乃国家根本	光荣为最劳动是财富源泉
分花月下诗染芳香衣带水	磨墨砚中笔生豪气纸飞烟
掌笔为厨烹一纸青山风味	挥刀代墨写几场碧血文章
笑笑从前弹剑也曾争草莽	思思过往登楼或许忘白衣
水烁七星垂竿诗客钓一点	天悬十日搭箭神人射九轮
水烁七星垂竿诗客钓一点	桥横两岸追月鲤鱼游半天
执酒贿东风借绿来浇小院	捐狂揖奇石凭君暂忘浮尘
倒影峰峦与水平分春一色	垂丝杨柳共翁浅钓月双轮
泉洗六根涤荡凡尘通佛国	风生七碗品评甘露到茶乡
月冷中天犹有啼鹃疑泣血	梦回午夜忍将落泪暗吞声
弦外有音风弹溪柳谁听醉	画中成趣雨戏湖莲蛙鼓酣
千秋清照月诚诚忧民爱国	一代词宗情切切红瘦绿肥
读到家书儿好妻贤方乐我	思来城市灯红酒绿不馋人
嗟我多情旧札经年犹带泪	羡君命好新孙绕膝正含饴
翠挽晴风燕语春声镶柳韵	红摇皓月湖光梦色染荷香
风雨别来慷慨清吟酬旧梦	春秋阅罢江湖健眼薄新词
心曲莫弹一寸冰弦惊指冷	酒怀亦苦三分微火候肠温
人在江湖长恨此身非我有	谁耽诗酒不知何处是他乡
相思莫问浅处无非三五寸	寂寞难称沉时或许百千斤
水载落花浪奏琴溪香韵远	冬无飞雪天藏玉日暖风清
一地相思挂柳枝随风起笔	满怀寂寞斟杯酒托梦还乡
既得天心明月当然归我管	长眠岭上梅花从此有人陪
岭岳巍峨得入云时空寂寞	楼台耸立堪摘月处尽风流
鹤背横琴且为白云弹一曲	舟心置酒肯邀碧海醉千钟
除却兰香惟有诗香盈四壁	若非燕语岂能心语漫三春
江东失策仲谋建业自当权	西蜀无关玄德成都原有备
江东失策仲谋建业自当权	蜀汉无备玄德使君称大耳
秋山夜宴红烧枫叶清蒸月	春雨午餐水煮桃花凉伴云
春山雨霁青岚入目开心界	丽日天高赤水行云悬念门
孟母三迁转移因子怕污染	曹操南渡连锁系统种祸根
袁绍伐曹失了颜面又丢丑	刘邦立信收得良心且为何
修竹立身桥畔凝眸残照里	横峰侧影枝头滴露隐风中
莺唱欢歌春来草色满园翠	桃张笑脸冬去花儿别样红
钓雨耕烟近水遥山随处赏	浇花酿酒清风明月即时得
霜风不瑟因有心情邻贝叶	垣石轻残仍将坚实护香宫
直是销魂尘中耆旧肠犹热	为谁独立时下华胥感不真
日映中天万里和风开画卷	春临大地九州谐律启鹏程
雅俗骈阗嘉联万副吐珠玉	风骚独领朗月一怀映地天
上海市是商海下海上上海	前门街皆钱门后门前前门
东西南北千姿万彩风情异	上下古今万代千秋典故多
稽古生情壁画青铜崇北岳	鉴文识物白瓷石刻傲中山
金话筒走南闯北谈天说地	荧光屏五彩缤纷百味纵横
群星荟萃一片丹心颂华夏	众彩纷呈十分春色满长安
继承与发展祖国医学传统	保卫和增强人民身心健康
泼墨挥毫莽莽燕山添秀色	丽章雄辞萧萧易水起寒波
鸱舌成诬千古奇冤公冶罪	圣门择婿一身清白子长风
盼守人去楼中犹望旧时月	知春燕来岛上又开新岁花
试衣亭前一色杏花三十里	作床石上半痕酒梦几千回
嶫嶫兰山云影常随雁翼影	悠悠丝路钟声遥伴驼铃声
春催胜苑万树碧桃嫣若锦	秋染香炉千峰红叶灿如霞
临水燃犀惊看双剑化龙去	登楼岸帻极望孤帆伴鹤归
楼耸中原万里春光收眼底	地连京广八方情谊汇心头
画栋飞檐万里风情联鲁闽	陶埙金鼎千秋文物铭古今
梦亦非梦梦到醒时总疑假	醒犹未醒醒回梦里方悟真
致富有方货殖越洋精贸易	传家以道文成酬镒重诗书
地占贞丰名传天下称三秀	宅居银岘富数江南第一豪
横刀向天英雄血洒菜市口	竖脊如铁赤子神飞浏阳河
群力回天旋子山头青春焕	同心播爱母亲河畔幸福长
携手筑城八方永固功勋烈	并肩御倭九战连捷节义豪
旗展西峰千里霞光千祥集	寺崇东土万尊玉佛万善归
翘望银空灿烂群星壮旧岁	欣瞻歌苑芬芳百卉迎新春
中华喜庆佳联妙对咸登录	香港回归四海九洲共举杯
璧落英伦百年离泪悲罂粟	珠还合浦两制春晖艳紫荆
清风徐拂当窗细说前朝事	辽水畅流把酒高歌盛世诗
徴博论精道唯明德爱莲久	律严词隽才若涌泉得月先
立雪见精诚树尊师以令范	设堂明理性遗重教之高风
四亿齐心英雄人民不可侮	八年浴血壮烈历史永难忘
登阁凭栏云中迥起古今韵	临潭把盏浪底幽传天地声
芝城一千八百年人文荟萃	建水九百六十里物象丰盈
柴米油盐酱醋茶家庭必备	喜怒哀乐爱恶欲人世常情
水里火里滚三滚煎炸蒸煮	主食副食包一包荤素甜咸
文化台商务场曲高和者众	七星灶八仙桌人走茶不凉
松韵竹韵琴韵皆为鸿运兆	枣香书香茶香尽是家乡情
有貌有才有胆有识祝九妹	痴心痴意痴文痴病梁大哥
蛱蝶双双人间处处传佳话	芳园焕焕柳下年年寄相思
蝴蝶双飞千古盛传梁祝事	林园独秀万方争览吴越风
千载一逢古钟新响开新纪	万民同乐大地龙光庆龙年
律转春回今夜旧岁连新岁	移风易俗此时无声胜有声
瑞雪迎春情深京路歌素丽	轻风送暖绿满西园赞秀奇
春满九城李花银蕊真素丽	情深千巷杨树绿荫更秀奇
碧水蓝天新市容迎新世纪	尊师重教高素质出高水平
一九九九九九云归港连澳	二零零零零零鹊唤台与澎
春临燕赵无限风光新世纪	马跃石门有为天地壮征程
大圣重来千秋事业千秋景	甲申多喜万里江山万里春
景云作雨春城杨柳皆芳胜	靖冬抒雪寒野劲松自蕴欣
逸叟勤健振岗云岩心若素	静姝丽雅漱石兰汀德斯馨
言语是开在心灵上的花朵	对联为串在文字中的明珠
钟鼓楼上欣看首都新气象	什刹海边饱览京城老风情
物华天宝将军武库添椽笔	人杰地灵学士词宗续丽章
天庭题诗世上联规唯此大	广厦开宴座中荃寿属君高
诗娇喀左齐看丽句呈千彩	花灿辽西独占楹联第一乡
龙津凤麓流长源远怀清水	椰岸蔻坪叶茂枝繁焕星洲
联鸿齐飞西子湖畔结云侣	锦手咸集钱塘潮头流羽觞
风韵犹存云母又成红娘子	雄心不已槟榔今是白头翁
八春焕彩绵阳对韵蜚巴蜀	七载扬芬天府联花秀中华
对海思亲流长源远晋江水	联心兴业通情输物安平桥
边区日丽永结同心芳梓里	万户风和长垂懿韵漾春涛
轶驾超群蕙兰共谱诗书韵	青春作伴琴瑟同操世纪情
传统永怀白鹤山前红军渡	宏图大展苍溪水畔雪梨乡
禅地交新学会欣传三代钵	黄梅更俏联乡喜绽十年花
宝塔雄巍圣地红旗挥壮曲	昆仑秀峙女神白首起高歌
结蒂归根玉莲蕊共紫荆艳	清源正本镜海波随香港回
潍河水暖乡韵风筝相缱绻	坊井春明对联年画共芬芳
百年树人灵水情深育桃李	十步芳草巾山泽厚输栋梁
春潮澎湃渡海同窗英吉利	锡卉芬芳缔姻合巹皋兰州
哺育心灵的乳汁华英代代	开发智慧的园地新绿年年
歌手惊亡墟场愁听刘三姐	知音忽丧诗弦断作泪千行
爱联改联妙语总关天下事	敬公哭公热泪还伴风雨声
唐圃正芳鄂英韡韡合心写	棣华忽落原隰茫茫挥泪求
七载结邻相亲相顾情难忘	一朝永诀追念追思痛何及
英才早逝潇潇春雨吴江冷	白首增哀寂寂药窗蓟月寒
烟水律精赤手拂弦畏公瑾	浔阳帛裂青衫沾泪泣江州
姊弟情深慕你才华出昆仲	日中友好依私心力续津梁
艺贯中西丹青精妙传千古	心滋雨露桃李芬芳遍九州
联张燕赵石市腾辉唐山丽	月落冀幽滹沱呜咽易水寒
泽被梓桑一片丹心盈绛账	风催桃李万丝春雨滋杏坛
功懋联坛乐道常怀张过老	情深乡党哀思遥寄毕郢原
严谨赤诚风雨硝烟酬壮志	光明磊落山川日月鉴平生
何寺和尚荷锄过河锄禾去	东家冬烘动身进洞躲冻来
天上七彩赤橙黄绿青蓝紫	人间一曲西拉素发米来多
天上七彩赤橙黄绿青蓝紫	家中百般柴米油盐酱醋茶
曲径通幽谁道关门无胜境	长车过垭皆思开洞有英雄
苏合含香金梅作饰父子美	辛夷孕蕾木笔迎春老幼安
四时八节整周年年年如意	一夜三更分两岁岁岁平安
十方百姓属万家家家富足	一夜三更分两岁岁岁平安
长江小梅傍大山山山秀丽	一夜三更分两岁岁岁平安
江河湖海浪淘沙波涛汹涌	兰蕙荃蘅苞蓄蕊花葉芬芳
都江堰江都闸两都都都水	齐天观天齐庙双齐齐齐云
都江堰江都闸两都都都水	步云寺云步桥双步步步高
万里腾骧萧萧畅鸣抒壮志	九州振奋处处欢跃荡春风
德据艺游云为教率託情远	依仁志道介寿衔盃卜运长
屡求师授无缘早拜萧萧老	顿得宗亲有幸晚成对对翁
寿域台莱八五人生惟翰墨	联坛砥柱三千世路亦文章
夜月空山太白抚膺嗟蜀道	征尘细雨放翁骑驴入剑门
齐齐齐齐齐齐齐齐齐齐戒	朝朝朝朝朝朝朝朝朝朝音
坤德能载永教琼岛仰帲幪	海波不扬长荷慈航宏利济
地近蓬莱海市仙山瀛客话	神来湄渚绿榕丹荔故乡心
天观慈云隐获同黎登觉岸	后垂德泽沾深四海颂母仪
德作舟航直扶宇宙三千界	中流砥柱不怕风波十二时
天赐甘霖物阜民安歌圣德	后施雨露河清海晏颂母仪
露浥狮山万叠翠深环驻阙	烟开凤屿一帆风好送归舟
圣母神光千秋宝地呈瑞霭	古宫焕新万载灵山毓英才
天后降临慈航永济人民福	古宫重建海国常沾圣母恩
天降神恩顺济安澜熙海岛	后添圣泽溥仁侠义庇绅民
天道酬勤佑黎民年丰岁稔	后恩济众保海运浪静风平
天威赫赫常常说话常常应	后慧昭昭数数烧香数数灵
天降圣母岛国千秋承母德	世敬尊神人民万载沐神恩
沧海清澄浪涌湄洲洗污浊	炬灯灿烂炉分祖庙焕辉煌
忠信涉波涛周历玉洲瑶岛	神明昭日月指挥水伯天吴
涉海凌波朗朗天枢占北斗	阜财解愠洋洋水乐谱南薰
呵护航行羽化千年长在望	仰瞻石像神通两岸合言欢
乐奏钧天潮汐声中喧岛屿	宫开碣石笙歌队里彻蓬莱
天时地利人和神州齐奋进	虎跃龙骧鹏举祖国共飞腾
万众一心天翻地覆山河壮	九州四域民富国强政业兴
盛世金秋邦兴政惠五星耀	晴空瑞霭天碧云青一月辉
万里长歌龙腾盛世精神爽	千年盛世虎跃长歌面貌新
胜世良辰民安国泰普天庆	金风玉露水好山奇万物谐
东风劲吹老树新枝齐竞秀	红日普照嫣红姹紫早争春
如春蚕毕生献给教育事业	似红烛精心培养建设人才
学海无涯飞舟最爱迎激浪	书山有路骏马更须策快鞭
不设樊篱恐风月被他拘束	大开户牑放江山入我襟怀
世事如棋一着争来千秋业	柔情似水几时流尽六朝春
泉飞千尺帝将用汝作霖雨	壁立千仞人皆仰公若泰山
秦皇安在哉万里长城筑怨	姜女未亡也千秋片石铭贞
孤屿有灵喜得卓公称后死	严陵在望直呼皋父哭先生
杜宇声寒柴市一腔留热血	梅花梦断瓯江千载泣忠魂
大梁鼎起下临福地上承日	鸿基奠成前有德邻后靠山
离去屡回头犹羡鸭香浓郁	过来频喷嘴直夸炉火纯青
九州万马跃千山山山壮丽	一夜三更分两岁岁岁平安
四时五福瑞千家家家吉利	一夜三更分两岁岁岁平安
四时百卉俏千家家家喜庆	一夜三更分两岁岁岁平安
玉柱耸江干巍镇荆门十二	文峰凌汉表雄当蜀道三千
端午以前犹是夫人自称曰	重阳而后居然君子不以言
香港回归赖有祖国金汤固	江山一统只缘华州长夺坚
先烈回眸四海举杯歌一统	赤子归心万家赏月乐团圆
堪羡堪钦虽毁家园难毁教	可歌可泣纵失亲人不失学
樱花开时举国齐唱回归颂	桂子飘香全党再掀跃进潮
五十华诞神州喜庆山河翠	九九回归禹甸同歌日月新
织女采莲水面一双仙人掌	沙僧摘瓜地头几个罗汉果
昨夜大寒霜降茅屋如小雪	早春惊蛰春分时雨到清明
大雨初倾万斛珍珠浮水面	长虹高挂一条金带束天腰
风弄竹影有节君子亦摇摆	藤附松帘无情大夫也缠绵
河里荷花和尚掐去何人戴	情凝琴弦清音弹给青娥听
碧水映龙楼最好樵山小住	云霓环旅舍何妨安宿多宵
日上山月上山山上日月明	青海湖水海湖湖海青水清
曙色清明残星几点雁横塞	晨曦初朗斜月孤伶门上关
智水仁山日日当前呈道体	礼门义路人人于此见天心
职授尚书自若蜚声光北宋	位封侯爵于今建祧祀东瀛
山静白云闲辉耀一楼花萼	澜澄苍海晓望迷万顷烟波
功在新邦骖靳当年能益我	患生无妄艰难来日倍思君
观稼祈年黄茂入秋应有喜	披章台对翠华拂暑不应来
月地云阶别向华林开静境	屏山镜水时从芳径探幽踪
欣百物向荣每识乾坤生意	值几万余暇长同海宇熙春
水隔笙簧白日鸟啼花竹里	庭园锦绣青春人在画图中
云行雨施不崇朝而遍天下	理大物博祖阳气之发东方
心在人民原无论大事小事	功归天下何必争多得少得
四面八方客来客往客不断	十全九美货进货出货无存
春满九洲大庆欣逢卅五载	人迎四化小康定看二千年
国破家亡千古英雄千古恨	身歼名在万年史记万年春
吴其沼乎苦诵遗言惭后死	国已兴矣今将喜讯告先生
英雄辈出茂林新叶接陈叶	大江东去流水前波让后波
大业方兴五星旗展金鸡唱	小康在望四化图开彩凤飞
虎岁三十爆竹声声辞旧岁	兔年初一红联对对迎新年
在圣班师一路凯歌笳鼓竞	雄鸡振翅几声雅唱瑞云生
饭热菜香贵客盈门庭似市	言甜情厚高朋满座店如春
庆祝劳动节人人喜笑颜开	迎接红五月个个干劲倍增
锐意图新四化大业惊天地	立志改革九州生气恃风雷
大圣辞年万里河山留瑞霭	雄鸡报晓千家楼阁映朝晖
水清沙白江左风光无此好	山紫天苍宇中盛景何其多
绿竹红梅梅蕊初开君子伴	仙娥素月月光喜照美人来
俭朴联姻幸福花开千朵艳	勤劳致富光荣榜列万家红
举酒贺新婚人共河山并寿	纵情歌盛世春临大地多娇
爱物为心一命于人亦有济	得民以道千秋斯统不虚传
有志夺魁行行业业能拔萃	忘我工作勤勤恳恳即风流
说地谈天且以烹茶寻雅趣	怡情悦性还从赏月借春风
烟柳斜阳归去东南余半壁	云山故国望中西北是长安
春色迷人捉韵妫川诗溢彩	杏花醉我写生燕岭画留香
好伴侣相爱相让相勉相谅	新青年互敬互信互助互学
志同道合同德同心花吐艳	日新月异新人新事桂生香
走改革路要除旧破旧弃旧	搞现代化须识才爱才用才
庆祝劳动节开展生产竞赛	迎接红五月提高质量指标
蓬莱仙界幻如蜃楼在此地	南极寿星恰似画者是斯人
看饺子看年糕眼饱腹不饱	逛名山逛秀水神游腿不游
法会启无边共守真如愿力	律宗超最上总持实相因缘
算永东华若木光腾春九十	祥开南极蟠桃花放岁三千
红藕香中一角雕栏临水出	绿杨荫里几双蜡屐过桥来
沉雁骤来十万蝇头终付梓	惊鸿杳去多年许诺却萦怀
勤为小径攀书峰必然有路	苦作舶船泛学海岂怕无边
三讨荆州已累先生频敝舌	两呈荐表应推都督最知心
扶帝烛曹奸所见在荀彧上	待吴亲汉胄此心与武侯同
江上峰青九歌遥和湘灵曲	湖南草绿三叠重招宋玉魂
真赏难逢千古几人如贺监	大恩不市平生无语及汾阳
睡足五更钟又送游踪到此	胸罗千亩竹至今直气独存
老马识途奋驾长车奔富路	银蛇献岁昭苏万物舞东风
菩萨曾来池涌玉泉堪洗象	众生向上坡连云路好钻天
身在庐匡不见庐山真面目	足临胜境方知胜地豁心胸
性海非遥拟议思量起识浪	灵山可即谭玄说妙落声尘
门可通天仰观碧落星辰近	路承绝顶俯瞰翠微峦屿低
室有余香谢草郑兰燕桂树	家有别况唐诗晋字汉文章
九囿风和一寸邮花开万里	三胞韵美八行笺月照双心
乐享遐龄寿比南山松不老	欣逢盛世福如东海水和流
背郭堂成锦里溪山千古在	缘江路熟青郊草木四时新
台榭屯荫翡翠半涵兜率殿	池涛漾玉水云深锁梵王宫
发愤图强成材不负青云志	鞠躬尽瘁报国常存赤子心
红心向党愿将青春献祖国	壮志凌云誓为四化建奇功
振兴中华甘为长车铺大道	开发边疆乐在荒原献青春
承前启后神州河山皆秀丽	继往开来华夏儿女更风流
炎黄子孙德才兼备建伟业	华夏儿女文武双全展宏图
水清沙白江左风光无此好	齿皓眸明滩头学子正其时
水清沙白江左风光无此好	柳绿花红梦中景色若斯同
水清沙白江左风光无此好	柳淡花浓滩东景色并斯娇
殿座辉彩千幅画像呼欲出	壁上生花万古忠贤栩如生
万井烟浓人间正熟黄粱饭	四山云起天上应开白茶花
拔地擎天四面云山拱一柱	乘风步月万家灯火接云霄
俯临桑干滚滚波涛萦似带	遥临恒岳苍苍岫嶂屹如屏
颂纪华封多福多寿多男子	美观帝典乃武乃文乃圣神
亘古不磨片石苍茫立天地	一峦挺秀群山奔赴若波涛
剑气腾霄百战勋功垂汗竹	将军横槊七篇珠玉洒诗碑
何处招魂香草还生三户地	当年呵壁湘流应识九歌心
海气凝云云气结成罗汉泪	月光映水水光返照菩提心
七声五线谱千章章章高雅	一夜三更分两岁岁岁平安
三通两岸系千家家家如意	一夜三更分两岁岁岁平安
百城万店缀千街街街喜庆	一夜三更分两岁岁岁平安
江河湖海浪淘沙波涛汹涌	崇山峻岭峦峙嶂峰岳巍峨
赤鲤跃碧波吞却三分明月	红莲开翠海托来一瓣清香
扫狼烟靖寰宇必提三尺剑	登凤阁安社稷须读五车书
辞旧岁不忘千秋教育大业	迎新春更想四化宏伟蓝图
秦风豪放飘撒上郡铁笳伴	晋韵婉延袅绕名州丝竹牵
母鸡下蛋谷多谷多只一个	小鸟上树酒醉酒醉无半杯
柳线莺梭织就江南三月景	云笺雁字传来塞北九秋书
五星旗五环旗京华旗焕彩	百姓梦百年梦奥运梦成真
琴韵书声鸣金石龙腾大宇	懿德慈徽飨儿孙鹤驾高天
功业辉煌苟利国家生死以	神明浩荡岂因祸福避趋之
热不因人翁之乐者山林也	居虽近市客亦知夫水月乎
庭有余秀谢草郑兰燕桂树	家无别况唐诗晋字汉文章
画栋凝熙东望摄提辉晓日	彤庭延景北临棨戟动朝光
篆袅金炉入座和风初送暖	花迎玉佩映阶芳草自生荣
屏展烟鬟云鹤闲看心共远	座凝香篆风松静觉韵偏清
与物皆春花木四时呈丽景	抗心希古图书万轴引清机
成佛念经纵然自在还为枉	度生心切须信慈悲也是贪
五岭南来珠海最宜明月夜	层楼晚眺白云犹是汉时秋
厥惟艰哉载芟载柞筹穑事	亦既勤止日旸日雨验农时
学慕乐羊黄卷青灯勤佐读	富如桓氏挽车提瓮著贤声
因火成烟若不撇开终是苦	一大冷天水无一点不成氷
因火成烟若不撇开终是苦	采丝为綵又加点缀便成文
虎斗龙争拼将热血扶危局	兄存弟死誓把余生靖险途
有天下画名何必忠臣孝子	无人间恶相不怕马面牛头
南陈已囚空教前贤笑后死	北李犹在哪用我辈哭先生
五老峰高秀插云霄如玉笔	三姑石大响传风雨若金镛
镜面湖光苏堤一线横窗碧	云端梵唱竺岭千盘压阁青
夜夜出游知虞公之不可谏	时时来聒何许子之不惮烦
棋盘有路二三车马任纵横	砚水无波多少鱼龙从变化
西望关中百战十年空鸟兔	北临绵上千秋一例感龙蛇
捷报新传百载冤仇今尽雪	将军虽去千秋大树永凌云
姊妹花残青草湖边双断雁	佩环冷月紫藤墙外有啼鹃
遇有缘人不枉我忘穿眼孔	得天上道只要汝立定脚跟
长与流芳一片当年干净土	宛然浮玉千秋此处妙高台
百尺高梧称得起一轮明月	数椽矮屋锁不住五夜书声
万石峰中月色泉声千古趣	八方池内天光云影四时春
同窗共室做学生良师益友	启蒙开塞为后代排愚淘沙
三军浩气扬威宇内辉赤帜	一片丹心保卫祖国固金汤
垂光范共产党人一身正气	树高标人民公仆两袖清风
为公之举不以事小而不举	营私之行不因行迫而强行
厚殖善亡愿散资财及当世	中天胪唱尚留文采殿前朝
惊变埋玉洛水神悲生死恨	还巢失凤游园遥想牡丹亭
虎镇千山虎威长励英雄志	兔营三窟兔智频催改革风
呕心沥血革命精神足堪效	先人后己崇高品质诚可钦
尊师守纪人格风范尽展现	立志成才创新教育任驰骋
八口累人今婚了向平心愿	百年期予尚无忘郝普家风
相爱百年嫁女嫁男都可意	只生一个弄璋弄瓦总舒心
任于朝者以馈送及门为耻	任于外者以苟且入都为羞
瑶洞开祥诸天羽圣归蓬岛	灵山耸翠历代飞仙列象图
夫妻情长苍松翠柏润春色	征途路远玉树琼姿绽新蕾
无物可陪三江四水随身带	有言相赠百好一勤致力行
赐福赐祥结成佳偶今如愿	图强图奋珍惜春光大有为
金鸡报晓改革似春风化雨	彩凤朝阳腾飞如旭日升华
壁府古含今藉以学资主敬	纶扉名副实讵惟目仿崇文
六琯宣和乐奏钧天回暖律	三阶共极图呈益地迓新棋
灵泉浩浩万顷琉璃穷地脉	圣水溶溶九涯珠玉映天光
诗酒神仙吟魂醉魄归何处	江山如画月色涛声共一楼
吉日良辰欣逢盛世迎佳婿	英男淑女喜结新婚共此生
万丈光芒信有文章惊海内	千年艳慕犹劳车马驻江干
炒豆橪开抛下一双金龟甲	甜瓜切破分成两片玉玻璃
水远天长万古川源连泰渎	年丰人乐四时风景胜滁阳
无补清时终老书丛原宿志	偶谈瀛海重摊诗卷纪前游
往事昭昭亿万世长传宇内	精忠耿耿千百年犹在人间
拔地山雄旧迹犹留霸王庙	平湖浪静名区近接美人崖
千古奇冤热血挥洒遍寰宇	百世流芳精忠彪炳启后贤
泥醉刘伶且勿倾杯逞豪兴	名传杜酿宜将制法再精良
江河湖海浪淘沙波涛汹涌	晨暮晦晴春易景时日恒昌
一卷经文苕霅溪边证慧业	千秋祀典旗枪风里拜神灵
家传十四篇书合三苍为一	律试九千字学称五经无双
进学解成闲官一席曾三仕	起衰力任钜制千秋本六经
夜读春秋一点烛光灿今古	昼思汉室千秋正气贯神州
亲厌尘纷寿终正寝归蓬岛	儿慈手泽眼流双泪滴麻衣
杏花枝头春意已归蜂翅闹	龙庆峡内漓江早在客心流
惜食惜衣非为惜财缘惜福	求名求利但须求己莫求人
不吝重金搜罗往昔无传本	藉资攻玉出版中西有用书
因火成烟若不撇开终是苦	女卑为婢女又何妨也称奴
早到三年也同成国事重犯	蠢尔元凶敢来吊革命先躯
保赤诚求依然父母斯民主	幽冥执法信是森罗守土官
非拒非迎风定妙香通息息	不支不蔓月明清影立亭亭
兴大厦建乐园景色如画美	住新居创家业生活似蜜甜
妫湖赏月空中月笑水中月	杏苑吟诗心上诗融花上诗
倩影玲珑山似苏州双面绣	娇姿绰约杏涵西子六桥春
胜日寻芳红霞漫谷诗流韵	新朋呼酒杏雨敲窗画有声
火树银花元夕今宵竟不夜	碧桃春水洞中此处别无天
一笑河清乡国旧闻传谏草	千秋墩在岁时薄酹荐香花
草号相思思岸柳眉弯腰细	花名含笑笑石榴齿露皮斑
讴歌香港回归曲声声入耳	吟赋神州兴盛诗句句随心
联彩三叠延庆花香飘四海	人潮云聚杏花韵美醉千门
群盗鼠窃狗偷死者不瞑目	此地龙蹯虎踞古人之虚言
载誉他邦画苑千秋正气谱	宣劳为国艺人一代大风堂
视民如伤潍邑苍生皆我子	修己以敬东林前辈是吾师
破虏平蛮功贯古今人第一	出将入相才兼文武世无双
世间众生有几个摸着鼻孔	法界诸佛尽都是立定脚跟
雉扇开时娲簧喜奏齐天乐	凤韶谱处舜琯偕陈益地图
