金牛贺岁	玉鼠回宫
岁届新春人福寿	羊衔金穗业丰收
天涯芳草绿马蹄	华夏玉羊欢羊毫
万树争荣添翠色	五羊献瑞报佳音
万象更新新世纪	五羊献瑞瑞门庭
万象已随新律转	五羊争跃好春来
五羊城中春光好	九州域内人面新
五羊结彩迎新纪	六畜兴旺报好年
五羊衔穗年丰稔	双燕迎春岁吉祥
五羊献瑞人增寿	百鸟鸣春喜盈门
五羊献瑞增春色	百鸟争鸣唱福音
惜别垂杨难系马	喜瞻叱石尽成羊
喜得马年成骏业	笑看羊岁展鸿图
喜看阳春花千树	笑饮新岁酒一杯
小道羊肠无阻碍	雄心捷足好登攀
驯马腾飞千里路	牧羊更上一重峰
羊归陇上春来早	马识归途业告成
羊角扶摇九万里	马蹄奔向二千年
羊年喜千家祝福	国运昌万物生春
羊群簇拥千堆雪	燕子翻飞一世春
羊群拥起千堆玉	稻浪浮来万亩金
一片白云羊变幻	千条翠柳燕翻飞
英雄跨马扬长去	龙女牧羊载福来
犹思骏马奔腾急	更赞矫羊奋发先
玉树葱茏皆出色	金瓯稳固不亡羊
玉羊启泰迎春至	金马奋蹄载誉归
玉宇澄清观燕舞	草原茂盛喜羊欢
大圣除妖天佛路	天蓬值岁兆丰年
狗守家门旧主喜	猪增财富新春欢
国泰民安戌岁乐	粮丰财茂亥春兴
两年半夜分新旧	万众齐欢接亥春
犬过千秋留胜迹	猪肥万户示丰年
骚人乐撰新春对	墨客欣书亥岁联
天好地好春更好	猪多粮多福愈多
戌年引导小康路	亥岁迎来锦绣春
戌岁乘龙立宏志	亥年跃马奔小康
衣丰食足戌年乐	国泰民安亥岁欢
猪多粮足农家富	子孝孙贤亲寿高
辞戊辰金龙述职	迎已巳银蛇报春
家运每随国运盛	小龙总傍大龙飞
金蛇狂舞春添彩	玉树临风喜满门
龙飞蛇舞升平岁	燕语莺歌盛世春
龙含宝珠辞旧岁	蛇吐瑞气贺新春
龙蛇共舞万家乐	鞭炮齐鸣四海春
龙腾祥云门接福	蛇吐瑞气户迎春
龙吟碧落存余韵	蛇舞神州唱大风
墨泼山水抒斗志	笔走龙蛇颂新春
蛇尾如鞭催骏马	马蹄似鼓送金蛇
巳岁迎春花开早	蛇年纳福喜报多
戊辰传捷龙辞旧	己巳报春蛇迎新
祥龙兆祥蛇兆福	喜鹊报喜梅报春
玉龙战罢欣奏凯	金蛇舞起喜迎春
不知索取只知奉献	勿问收获但问耕耘
灭鼠消灾粮丰人寿	养牛致富国裕家康
喜看大地莺歌燕舞	笑迎农家马壮牛欢
花果飘香美哉乐土	猴年增色换了人间
金猴献礼家家顺利	喜鹊闹春事事吉祥
玉燕嬉春九州铺锦	金猴贺岁一国呈祥
丙穴鱼生人间改岁	寅方斗指天下皆春
春风浩荡花香鸟语	岁月峥嵘虎跃龙腾
虎跃龙腾九州焕彩	风调雨顺五谷丰登
牛奔福地普天献瑞	虎卧华堂满院生辉
势如破竹人欢马叫	安若泰山虎踞龙盘
紫气东来江山如画	红旗招展龙虎扬威
祖国富强神龙活虎	人民幸福舞燕飞莺
邦兴国治鸡唱门庭	春暖花开犬蹲院里
丹凤来仪春回大地	金鸡报晓福满人间
喜庆新春闻鸡起舞	欣逢盛世跃马扬鞭
不知索取只知奉献	勿问收获但问耕耘
灭鼠消灾粮丰人寿	养牛致富国裕家康
喜看大地莺歌燕舞	笑迎农家马壮牛欢
柏叶为铭椒花献瑞	龙缠肇岁凤纪书元
璧合金瓯神州焕彩	龙腾玉宇世纪更新
大地春回凤鸣盛世	中华崛起龙有传人
大业中兴宏图再展	神龙起舞祖国长春
华夏龙腾春晖无限	神州虎跃气象万千
锦绣前程龙腾虎跃	辉煌胜纪燕舞莺歌
龙的传人强邦富国	春之使者润土丰年
龙凤炳文神州焕彩	鲲鹏展翅华夏腾飞
龙凤呈祥阳春锦绣	鲲鹏展翅华夏腾飞
龙启吉祥云蒸霞蔚	花开富贵人寿年丰
龙上高天凤翔过树	春盈大地花漫神州
龙腾云海凤翔天宇	春满江山花漫神州
龙钟传技不留一手	老树著花贵有繁枝
绿抹柳梢红燃花萼	春临世界喜降人间
四柱擎天九龙腾跃	八仙过海百姓安康
兔腾大地清辉万里	龙舞长空捷报千传
吞云吐雾金龙崛起	展志舒情彩凤腾飞
不知索取只知奉献	勿问收获但问耕耘
灭鼠消灾粮丰人寿	养牛致富国裕家康
喜看大地莺歌燕舞	笑迎农家马壮牛欢
春风得意马驰千里	旭日扬辉光照万家
大海方平千帆竞发	征途正远万马奔腾
好雨知时百花齐放	春风得意万马奔腾
金戈铁马扬眉吐气	火树银花浴雪迎春
锦绣山河春和世泰	峥嵘岁月马叫人欢
骏马嘶风九州辞旧	杏花沐雨四海迎新
快马加鞭振兴祖国	闻鸡起舞建设家园
绿水青山九州生色	金戈铁马四海扬威
马蹄踏碎一穷二白	燕子衔来万紫千红
马跃人欢九州欢治	鱼肥秧壮四海春浓
明媚春光百花竞放	昌隆国运万马奔腾
鸟语花香满园春色	人欢马叫一路凯歌
庆盛世雄狮轻起舞	展宏图快马猛加鞭
山舞银蛇春光烂漫	原驰骏马节日欢腾
同心同德宏图再展	群策群力快马加鞭
喜盈门天乐人亦乐	春及第马驰志也驰
一夜报春百花齐放	三阳开道万马奔腾
月圆花好鸟飞鱼跃	雨顺风调马壮人欢
跃马迎春春风扑面	抬头见喜喜气盈门
海滟河清龟蛇献寿	风和日丽桃李争春
龙凤呈祥招财进宝	龟蛇献瑞纳福迎春
龙腾碧海人间改岁	蛇舞青山大地皆春
龙舞庚辰功勋卓著	蛇荣辛巳岁月光辉
世纪图新金蛇曼舞	神州大治玉宇澄清
岁序更新龙蛇竞舞	春风初度莺燕争鸣
辛岁迎春流金溢彩	巳年跨纪策马扬鞭
春雨晓风花开五色	鼠须麟角力扫千军
一纪开端共迎金鼠	三春肇始同举玉杯
春归月殿钟催玉兔	誉满中华鼓舞金龙
春回大地百花吐艳	兔跃青山万物生辉
虎啸千山声声响应	兔驰万里步步腾飞
日暖福州春晖万里	兔回大地气象一新
送虎岁共庆山河壮	迎兔年齐歌业绩新
玉兔出行满天春色	山君归隐一路雄风
北斗光明春台起凤	南溟壮阔羊角搏鹏
碧草白羊三春图画	金戈铁马万里征途
福鹿吉羊三元开泰	尧天舜日万象更新
过佳节方知红日暖	度阳春倍觉党恩深
立志当怀虎胆驰骋	求知莫畏羊肠扶摇
绿草如茵羊盈瑞气	红桃似火猴沐春风
时雨春风五羊献穗	尧天舜日百凤朝阳
送马年春花融白雪	迎羊岁喜鹊闹红梅
万象更新山青水秀	五羊献瑞日丽春华
一派生机阳春映日	满天焕彩浩气腾云
迎新春应赞猪为宝	辞旧岁莫忘犬看家
龙留喜气喜盈门户	蛇闹春光春满山川
腊尽春归山村添喜气	牛肥马壮门户浴春风
鼠去牛来一元欣复始	春明日丽万象喜更新
喜鹊登梅百族迎佳节	金牛献瑞万里笑春风
金猴棒奋千钧除腐败	盛世家兴万富民康宁
白虎替青牛招财进宝	黄莺鸣翠柳辞旧迎新
虎跃龙腾创人间奇迹	莺歌燕舞描大地春光
虎跃龙腾有天皆丽日	花香鸟语无地不春风
花团锦簇江山添异彩	虎啸龙吟华夏壮神威
金牛辞旧携凯歌而去	乳虎迎春带捷报新来
瑞雪兆丰年年年大吉	丑牛接寅虎虎虎生威
岁月逢春山河添锦绣	人民思治龙虎振精神
效虎豪吟放怀歌富岁	闻鸡起舞挥笔颂春光
祖国腾飞大鹏振羽翼	宏图再展乳虎显神通
腊尽春归山村添喜气	牛肥马壮门户浴春风
鼠去牛来一元欣复始	春明日丽万象喜更新
喜鹊登梅百族迎佳节	金牛献瑞万里笑春风
百姓喜金瓯同歌宝鼎	九州辞玉兔共接神龙
东海跃明珠金龙献岁	南天开淑景俊鸟鸣春
虎跃龙腾建功九万里	莺歌燕舞造福两千年
起凤腾龙千家争贡献	移山填海十亿尽风流
四柱擎天看神州巨变	五星焕彩引玉龙腾飞
喜气满庭阶春来福地	凯歌传江海鱼跃龙门
玉兔回宫喜迎新世纪	金龙下界更展大宏图
腊尽春归山村添喜气	牛肥马壮门户浴春风
鼠去牛来一元欣复始	春明日丽万象喜更新
喜鹊登梅百族迎佳节	金牛献瑞万里笑春风
百尺竿头重跨千里马	十亿人民更上一层楼
百花争艳祖国春光好	万马奔腾改革事业兴
赤帜舞东风江山如画	赤骝奔大路祖国长春
工农携手共跨千里马	干群并肩同上一层楼
举步昂首攀登十八盘	跃马扬鞭飞越天柱峰
快马舞东风春盈四海	梅花香大地喜满九州
马壮牛肥山村添喜气	地灵人杰门户沐春风
鸟语花香九州春光好	人欢马叫四季画图新
奇迹不奇英雄能创造	远征非远良马自奋蹄
人欢马跃开创新局面	燕舞莺歌喜庆夏收年
十亿神州共驰千里马	四化建设更上一层楼
五谷丰登银蛇载誉去	百花争艳金马踏春来
喜四化征途莺歌燕舞	看九州大地马叫人欢
新貌新风喜迎新世纪	好鞍好马驰骋好前程
鱼跃鸢飞光景随时好	人欢马叫春潮逐浪高
刚过龙年走上康庄道	新逢蛇岁迎来改革潮
佳节舞龙蛇千家致富	东风荣草木万户迎春
龙去雄风在江山不老	蛇来灵气生岁月常新
桃李迎春北国江山丽	龟蛇献瑞南疆岁月新
喜气闹新年千家报喜	春风暖蛇岁万户迎春
抗洪抢险虎年呈异彩	创业兴家兔岁立新功
玉兔生辉照宽改革路	春风得意吹绽文明花
改革起宏图神州巨变	丰年添笑语万事吉祥
快马加鞭不坠腾飞志	吉羊昂首更添奋发心
留胜迹水秀山明草茂	谱新歌羊肥马壮春荣
岁序更新马年留胜绩	春风初度羊志展鸿猷
万马扬蹄踏凯歌而去	群羊翘首唤春信即来
喜鹊迎春红梅香瑞雪	吉羊贺岁金穗报丰年
艳阳高照江山添锦绣	壮志常存祖国更富强
张灯结彩欢庆丰收岁	跑马耍羊喜迎改革春
张灯结彩欢庆丰收岁	跑马耍羊喜迎艳阳春
骏马金鞍跨上康庄路	肥猪元宝迎来大丰年
盘瓠神将上天去报喜	天蓬元师下界来除灾
昨夕犬年欢歌迎大地	今朝猪岁新景满神州
爆竹声声龙吟随腊去	欢歌阵阵蛇舞伴春来
喜炮闹元春千家接喜	春风荣蛇岁万户迎春
庆虎岁把酒高吟虎跃曲	祝丰年扶犁又唱丰收谣
迎虎年敢逐改革拦路虎	送牛岁勇当奉献老黄牛
迎新春处处呈文明气象	入虎岁人人当改革先锋
除夕猴在山重享齐天乐	迎春鸡报晓高唱东方红
猴岁呈祥长空五光十色	鸡年纳福大地万紫千红
百鸟鸣春堪喜人间换岁	群龙献瑞欣逢世纪更新
南疆雨北国风风调雨顺	东海龙西山凤凤舞龙飞
为国争光可上九天揽月	给民造福敢入四海擒龙
玉兔回蟾宫长空悬朗月	金龙上华表大地庆新春
爆竹迎春春丽五湖四海	红梅报喜喜催万马千军
步新潮须骑骏马驰千里	兴伟业应唤春风惠万家
才过小龙年又催千里马	曾经大风浪更上一层楼
春日融融万树繁花竞放	红旗猎猎千骑骏马争先
宏图大展成就行行伟业	骏马奔腾飞越道道雄关
听遍地豪歌征人添虎劲	看漫天彩霞战马长精神
万马奔腾为江山添锦绣	宏图再展与日月竞光辉
龙蛇同体角有角无当辨	已巳异头尾长尾短当分
日丽风和喜奏金蛇曼舞	民强国富远瞻骏马腾飞
天马行空日丽风和雨顺	灵蛇在世政通国泰民安
送虎岁盈盈硕果山村景	迎兔年丽丽宏图祖国春
送金虎硕果丰收千里艳	迎玉兔宏图再展万年青
兔岁初临健步已驰千里	虎年虽去雄风犹镇八方
红杏丛中朝见牛羊出圈	绿柳郊外夕闻鸟雀归林
喜洋洋绿水青山春永驻	美泰泰丰衣足食福无边
羊笔如花写就辉煌岁月	春风似剪裁成锦绣江山
乐辞鼠岁处处丰收人人乐	歌颂牛年家家富裕户户歌
镰运锤挥万古江山开盛世	龙骧虎奋九州儿女创殊荣
羊岁去矣应记取亡羊教训	猴年来兮当发扬金猴精神
虎跃龙腾碧海黄山妆玉宇	莺歌燕舞春风旭日蔚神州
虎跃龙腾华夏人民多俊杰	莺歌燕舞阳春山水尽朝晖
牛耕广野丑年犁出文明路	虎跃深山寅岁图开舜尧天
岁步寅年喜庆团圆同把酒	珠还合浦欢歌一统共迎春
喜庆牛年两制先迎香港还	欢歌兔岁亿民再赞澳门归
栽竹栽松竹隐凤凰松隐鹤	培山培水山藏虎豹水藏龙
彩凤高翔恋我中华春不老	金鸡喜唱歌斯盛世乐无穷
大圣辞年万里河山留瑞霭	雄鸡报晓千家楼阁映朝晖
大业方兴五星旗展金鸡唱	小康在望四化图开彩凤飞
点点梅花笑迎雄鸡朝天唳	声声爆竹欢送大圣载誉归
鸡唱门庭四海升平歌舜日	犬蹲院里九州盛世乐尧天
鸡唱三通万家春正乾坤气	凤鸣两岸一树梅开天地心
鸡唱月归一线长天皆瑞霭	犬歌日出九州大地尽朝晖
捷报频传圣猴舞棒辞岁去	宏图再展金允高唱迎春来
金鸡报晓改革似春风化雨	彩凤朝阳腾飞如旭日升华
金鸡报晓时转三阳迎淑气	红梅竞放花开五福庆丰年
雷震南天滚滚春潮生九域	鸡鸣大地彤彤旭日耀寰球
人寿年丰金猴辞岁归帘洞	民安国泰玉羽司晨报晓春
神猴辞岁保驾护航奔富路	金凤迎春昂头振翼唱东风
雄鸡唱韵万户桃符新气象	大地回春群山霞彩富神州
雄鸡喔喔颂尧天邦兴国治	腊狗汪汪歌舜日春暖花开
在圣班师一路凯歌笳鼓竞	雄鸡振翅几声雅唱瑞云生
紫燕迎春一路东风歌大治	金鸡唱晓九州时雨润小康
乐辞鼠岁处处丰收人人乐	歌颂牛年家家富裕户户歌
爆竹飞花四海升平庆富庶	金龙献瑞九州欢乐唱丰年
爆竹迎春春光明媚人心畅	金龙还世世纪崭新国力雄
藏龙卧虎华夏大地春常地	人杰地灵文明古国尽朝晖
大开大放虎跃龙腾奔四化	双节双增莺歌燕舞入三春
改天换地狮啸八荒光八极	揽月摘星龙吟九派熠九州
鼓角争鸣跨纪龙骧腾热浪	旌旗漫卷开元虎步舞长风
虎步龙骧共创九州新世纪	莺歌燕舞同观四海好风光
虎将三千曾驭红鬃还伏虎	龙人十亿才跨赤兔又乘龙
华夏龙腾长城内外皆春色	神州虎跃大江南北尽朝晖
华夏腾飞时势造就新业绩	巨龙昂首英雄独领好风骚
画海诗天神州美景能人绘	云龙山虎禹甸宏图巧手描
荆艳莲香龙国迎春花织锦	日新月异宏图焕彩景迷人
龙虎精神龙子龙孙功不灭	江山锦绣江南江北水长流
龙闹北溟千里冰凌千里雪	春回南岭万枝火桔万枝梅
龙年龙裔看龙舞龙飞天上	春节春风送春光春满人间
龙种自与常人殊况逢龙岁	鹏鸟岂堪同日语绝胜鹏搏
岁届龙年好跳龙门题雁塔	身弥虎劲敢凭虎胆占鳌头
天下皆春长街喜看龙灯舞	人间改岁小院欣闻爆竹鸣
兔窟三营去岁财经已搞活	龙门一跃今年体制再更新
兔卧蓝田万里春风舒碧野	龙腾玉宇千家笑语乐新程
兔跃龙腾瑞盈玉宇天光丽	珠还璧合春满金瓯世纪新
兔走乌飞大舞兔毫辞兔岁	龙腾虎跃敢攀龙角接龙年
物华天宝欣闻禹域鸣雏凤	人杰地灵喜看神州起卧龙
喜值龙年经济腾飞增国力	乐迎盛世人民幸福焕春光
绣水描山神州大地春常在	藏龙卧虎盛世人家福永存
玉兔归宫新春喜气连天外	金龙出海改革波澜动地来
玉兔归时羡慕人间春色美	金龙跃处喜看华夏画图新
玉兔回宫永羡人间春色舞	金龙献岁常牵天际彩云归
玉兔追风喜接澳门归祖国	金龙运气宏开新纪写春光
乐辞鼠岁处处丰收人人乐	歌颂牛年家家富裕户户歌
爆竹一声喜送巳蛇留庶绩	华灯万盏欣迎午马展嘉猷
策马争春马跃马年加马力	驾龙追日龙腾龙国振龙威
大地回春锦绣河山添异彩	征途跃马英雄儿女着先鞭
凤舞龙腾腾龙兴国创新业	人欢马跃跃马扬鞭赴前程
改革开放神州巨变真无比	奋发图强骏马奔腾大有为
花红柳绿河山壮丽门庭秀	民富国强龙马奔腾世纪新
继往开来世纪春光无限好	承前启后神州骏马有奔头
继往开来蹄声似鼓惊天地	兴邦强国志气如虹展画图
金戈铁马三军猛士戍边邑	伟业殊勋一代精英振国威
旧岁蛰蛇蛇舞青山山愈秀	新春跃马马奔大路路更宽
快马加鞭协力同心跟党走	葵花吐蕊栉风沐雨向阳开
老骥伏枥退休续谱夕阳曲	苍松傲雪余生再唱春牛歌
老马识途奋驾长车奔富路	银蛇献岁昭苏万物舞东风
丽日蓝天万树繁花争早放	阳关大道千骑骏马着先鞭
柳拂春风马蹄得意奔新路	云蒸丽日喜鹊登枝报福音
气贯长虹四化征途催战马	志凌霄汉十亿英雄唱新歌
千帆竞发几经风雨几经浪	万马奔腾一路凯歌一路春
蛇舞取胜除暴安良政局稳	马到成功兴益除弊国力强
为国争辉万马齐奔改革路	给民造福千帆竞发富春江
小龙辞岁好凭妙手书鹏赋	骏马迎春当显雄才唱大风
银蛇归去盛赞人间春色美	金马奔来争夸祖国气象新
雨润三春披红戴绿千山舞	旗飘四化跃马扬鞭万众忙
玉宇澄清花香鸟语升平世	金瓯永固马叫人欢幸福春
跃马扬鞭四化征途奔万马	扬帆契浪一江春水涌千帆
展宏图九州英才扬鞭跃马	创伟业四海豪杰破浪飞舟
展智施能雄心共创千秋业	扬鞭跃马矢志同奔万里程
大地春回千里金涛香万户	小龙蛰起九州紫气贯长虹
大地迎春柳伴梅香招蝶舞	高天降雨犂掀黄土应蛇行
凤起蛟腾四海英才齐报国	龟动蛇出九州风物笑迎春
凤舞龙飞锦绣河山添锦绣	蛇祥龟瑞富强中国更富强
龙归大海滚滚春潮逐浪起	蛇舞青云浓浓喜气盈门来
龙舞雪花四野寒风随雪尽	蛇衔春色九天暖意逐春回
龙骧新纪党政军民同春进	蛇步锦程工农商学共腾飞
蛇至龙回重开新岁人间景	山欢水笑又度佳节天下春
四海龙腾盈门喜气临春到	九州蛇舞满面春风报喜来
旭日扬辉崭新世纪呈春色	灵蛇起舞大好河山架彩虹
玉燕翻飞千秋大业千秋世	金蛇狂舞万里春风万里歌
两个文明同建设无分甲乙	四项原则共坚持永传子孙
雪花献瑞五龙鳞甲飞大地	绿酒添欢家人父子庆丰年
雪花献瑞玉龙飞起三百万	绿酒添欢金鼠报来十二时
北斗回寅万户金鸡争唱晓	东风送暖九霄玉兔喜迎春
虎慢归山因贪人间好春色	兔急下界为览世上新画图
虎岁三十爆竹声声辞旧岁	兔年初一红联对对迎新年
虎镇千山虎威长励英雄志	兔营三窟兔智频催改革风
喜今朝玉兔欢跃九州生色	望明岁金龙奋起万里腾飞
玉兔出宫倾慕人间春色美	金龙潜海畅游祖国江山娇
春暖人心世界三千同雀跃	风搏羊角云程九万共鹏飞
国富民殷羊毫挥颂千秋业	年丰人寿燕剪裁成万点春
浩气常存频加马力奔新路	雄风不减再握羊毫绘壮图
骏马奔驰满载乌金辞岁去	吉羊起舞豪吟白雪报春来
骏马辞年不懈奔腾千里志	吉羊献岁同迎欢乐万家春
骏马荣归一路梅花频送笑	吉羊欢驾九州绿草快铺春
老马识途破雾导航奔胜境	吉羊接力承先启后展宏图
马去蹄香北国又添千里马	羊来春暖南疆再现五仙羊
马去羊来华夏腾飞添马力	龙吟虎啸天公抖擞降龙才
马首是瞻美酒千盅迎曙色	羊毫初试豪情万斛写春光
门对青山羊兔群群嬉碧毯	窗含绿水鸭鹅队队戏清波
前路辉煌笑看骏马追风去	雄雷霹雳喜见商羊带雨来
瑞雪绽红梅君正啸天傲地	劳春织绿草我来放马牧羊
三阳开泰来处处三春美景	五福骈臻至家家五谷丰登
岁届吉羊燕舞莺歌齐祝福	年逢盛世桃红柳绿尽芳菲
天马班师捷报频传惊宇宙	仙羊降世宏图再展耀神州
万马消尘蹄声响彻三千界	五羊衔瑞春意浓于二月花
先富后富你富我富大家富	羊多猪多钱多粮多喜事多
羊笔如椽描山绘水书春意	马蹄腾雪步韵留香报福音
羊酒微醺酡颜人共桃符艳	春风乍拂捷报声随爆竹传
月异日新不少羊肠成大道	春和景泰好多蜗舍变高楼
自改革来千古羊肠成大道	由开放始全新人面满春风
红梅点点盘瓠傲霜随岁去	丽日融融天蓬报喜伴春来
盘瓠将军奉命辞岁报功去	天蓬元帅领旨迎春送宝来
大地迎春柳伴梅香招蜂蝶	文坛焕彩笔掀墨浪舞龙蛇
金龙穿云端裁剪千千锦缎	玉蛇舞大地巧绣万万彩旗
鼠岁报佳音市场兴旺迎胜利	牛年逢盛世香港回归庆团圆
腊酒谢金鸡唱遍神州歌大有	春风催吉犬迈开健步跃高峰
丑岁建奇功香港回归昌国运	寅年兴大业宏图展现壮情怀
虎年喜虎劲攻关夺隘皆如虎	春节焕春光绣水描山总是春
牛年虽过去牛劲更增多奉献	虎岁喜临门虎威大振有精神
寅时入虎年十亿人民振虎劲	佳节描春色九州大地荡春潮
春回大地喜庆新春闻鸡起舞	福满人间欣逢盛世跃马扬鞭
鸡鸣曙日红万里金光辉瑞霭	柳舞春江绿千重锦浪映丹霞
鸡鸣早看天抓住时机求发展	水近先得月紧跟形势上台阶
九域涌新潮四海雄鸡争唱晓	三春辉紫气八方彩凤共朝阳
万象喜回春守信知廉标五德	一元欣复始司晨报午必三鸣
振翅欲冲霄一唱雄鸡声破晓	迎春思试剑三擂战鼓气吞虹
鼠岁报佳音市场兴旺迎胜利	牛年逢盛世香港回归庆团圆
爆竹辞旧岁玉兔毫光生紫气	华灯照新春金龙捷足步青云
改革奏凯歌虎跃龙腾强盛景	文明开新局莺歌燕舞太平春
海是龙故乡龙腾海宇龙光起	春为燕天地燕舞春风燕语新
海是龙故乡龙腾海宇龙兴起	春为花世界花吐春光花盛开
虎跃龙腾万里长征风光无限	花香鸟语九州大地春色正浓
佳节倍思亲厚望台澎同日月	群龙皆起舞欣吟港澳共团圆
卯岁展宏图五湖四海歌大有	辰年逢盛世千村万户讲文明
骑飞虎奋云程广罗八方志士	降蛟龙掌乾坤实现四化宏图
鼠岁报佳音市场兴旺迎胜利	牛年逢盛世香港回归庆团圆
春风会马年一路凯歌迎盛世	紫气开晴宇满天捷报壮新猷
九霄鹏鹏举九霄九霄飞捷报	千里马马奔千里千里荡春风
骏马早迎春一代英豪图改革	黄莺初唱晓千里乐声唱丰收
看旧岁银蛇起舞群山增秀色	喜今朝骏马奔驰九州尽春晖
快马加鞭万里长征始于足下	争分夺秒四化宏图绘在今朝
神州呈瑞彩满天捷报迎旭日	大地迎马年一路凯歌壮春风
万里蓝天莺歌燕舞春光无限	千村碧野马叫人欢淑景连绵
鲜卉挹春风骏马奔腾强国路	神州迎笑语雄狮起舞小康年
小龙舞九州龙伴腊归留胜迹	大骥驰千里骥随春到展宏图
银蛇随腊去农业丰收欣在望	金马送春来国民经济喜腾飞
德政布寰中四海翻腾掀巨浪	春雷鸣广宇长空跃动舞银蛇
改革呼声高老凤争鸣雏凤唱	腾飞接力快大龙引导小龙来
恭祝小龙年锦簇花团呈万象	宏开新玉宇雄伟火箭腾九霄
盛世挹春风芝草灵蛇迎瑞气	丰年歌善政奇山秀水沐朝阳
岁庆小龙年反腐倡廉昌国运	史开新世纪爱岗敬业振民魂
掀改革浪潮神龙载誉回天宇	伴长征号角金蟒迎春降人间
中华大气魄党政同心昌特色	辛巳小龙年军民协力振雄风
海宇尘嚣坚甲牧马立国之道	人寰春暖孺子为牛尽我所能
爆竹辞旧岁玉兔毫毛生紫气	华灯迎新春金龙捷足入青云
爆竹庆新春玉兔毫光生紫气	华灯辞旧岁金龙捷足入青云
洪魔挂降旗重建家园辞虎岁	玉兔开泰运再凭科技奋鹏程
兔岁来矣劝君记取龟兔教训	虎年去也祝您发扬龙虎精神
酣墨沾羊毫记载中华创业史	丹青赋春色绘描改革鼎新图
凯歌阵阵千里马早过玉门关	春风习习带头羊又登泰山顶
马步牵长风长随远景江山好	牵羊迎盛世依然十里杏花红
万马闯雄关春回大地繁花俏	五羊开玉局旗展东风旭日辉
万事本无难只赖吹牛拍马屁	百般都有假谨防屠狗挂羊头
龙飞留荡漾祥云映神州壮美	蛇舞带铿锵吉乐催大众图强
蛇岁纳千祥花开梅兰添秀色	春光迎百福鹊啭城乡报佳音
岁属龙龙布雨雨顺风调呈稔岁	春迎燕燕衔花花团锦簇贺新春
振兴伟大中华道路驰骋千里马	迎接崭新世纪人民团结一条心
大龙传小龙连年奋进经天行地	老凤带雏凤尽日畅鸣悦耳清心
龙携华夏腾飞飞起玉龙三百万	蛇伴新春狂舞舞来银蛇数千条
虎劲长存救命降魔英烈人人颂	兔年新至扶贫效国赤心户户歌
银蛇舞江城美千帆竞发辞旧岁	黄鹤飞楚地阔万物峥嵘迎新春
辞旧岁国共三联赤子丹忱争四化	入龙年江山一统巧手红心建九州
巨龙迎盛世狂欢爆竹声声辞旧岁	喜鹊羡故园起舞梅花朵朵报新春
来自云天出角露牙与虎几番争斗	兴于河海负图衔甲同马一样精神
玉兔欢奔金乌飞飞向春光明媚处	雄狮抖擞巨龙舞舞来华夏太平年
真豪杰无私无畏敢锯孽龙头上角	是英雄有胆有识能拔猛虎口中牙
竞舞龙蛇喜看九州开放天翻地覆	争跨骐骥欢呼十载改革国富民殷
岁序更新蛇归洞府畅述辉煌成就	春风初度马跃神州喜奔锦绣前程
巨龙凌空雄狮拜地爆竹声声辞旧岁	紫燕展翅绿柳吐丝梅花朵朵迎新春
龙游东海马放南山龙马精神传万代	虎啸西冈牛耕北国虎牛威力震千秋
绿抹柳梢红燃花萼燕舞莺歌相比美	春临世界喜降人间龙腾虎跃竞争先
农村兴旺同庆丰收谷似金山棉似海	城市繁荣共迎新岁车如流水马如龙
岁月峥嵘应知花甲易屈指珍惜少壮	江山锦绣乐与赤子同存心服务人民
金猴献礼家家顺利玉燕嬉春九州铺锦	喜鹊闹春事事吉祥金猴贺岁一国呈祥
忆旧岁牛劲冲霄汉神鞭一指神州巨变	看今朝虎威壮中华众志成城经济腾飞
长空五光十色除夕猴在山重享齐天乐	大地万紫千红迎春鸡报晓高唱东方红
大地早回春处处春光好莫把青春负了	龙年多造福人人福中过坐亨清福行吗
兔去龙来四海喜金瓯共祝三通图一统	花明柳暗九州歌宝鼎同期两制乐千秋
玉兔走金鸟飞走走飞飞飞向春光明媚处	雄狮欢巨龙舞欢欢舞舞舞出华夏壮美丽
巳岁不寻常欣瞻祖国繁荣处处管弦歌盛世	蛇年真雅化喜见城乡活跃家家诗酒贺新年
镰运锤挥万古江山开盛世羊岁去矣应记取亡羊教训	龙骧虎奋九州儿女创殊荣猴年来兮当发扬金猴精神
猴去鸡来胜利年终迎胜利猴年赞金猴棒奋千钧除腐败	莺歌燕舞腾飞岁席再腾飞世人歌盛世家兴万富民康宁
